State,Area
Burundi,Eastern Africa
Comoros,Eastern Africa
Djibouti,Eastern Africa
Eritrea,Eastern Africa
Ethiopia,Eastern Africa
Kenya,Eastern Africa
Madagascar,Eastern Africa
Malawi,Eastern Africa
Mauritius,Eastern Africa
Mayotte,Eastern Africa
Mozambique,Eastern Africa
ReReunion,Eastern Africa
Rwanda,Eastern Africa
Seychelles,Eastern Africa
Somalia,Eastern Africa
South Sudan,Eastern Africa
Uganda,Eastern Africa
Tanzania,Eastern Africa
Zambia,Eastern Africa
Zimbabwe,Eastern Africa
Angola,Middle Africa
Cameroon,Middle Africa
Central African Republic,Middle Africa
Chad,Middle Africa
Congo,Middle Africa
Democratic Republic of the Congo,Middle Africa
Equatorial Guinea,Middle Africa
Gabon,Middle Africa
Sao Tome and Principe,Middle Africa
Algeria,Northern Africa
Egypt,Northern Africa
Libya,Northern Africa
Morocco,Northern Africa
Sudan,Northern Africa
Tunisia,Northern Africa
Western Sahara,Northern Africa
Botswana,Northern Africa
Lesotho,Northern Africa
Namibia,Northern Africa
South Africa,Northern Africa
Swaziland,Northern Africa
Benin,Western Africa
Burkina Faso,Western Africa
Cabo Verde,Western Africa
CoCote d'Ivoire,Western Africa
Gambia,Western Africa
Ghana,Western Africa
Guinea,Western Africa
Guinea-Bissau,Western Africa
Liberia,Western Africa
Mali,Western Africa
Mauritania,Western Africa
Niger,Western Africa
Nigeria,Western Africa
Saint Helena,Western Africa
Senegal,Western Africa
Sierra Leone,Western Africa
Togo,Western Africa
Kazakhstan,Central Asia
Kyrgyzstan,Central Asia
Tajikistan,Central Asia
Turkmenistan,Central Asia
Uzbekistan,Central Asia
China,Eastern Asia
China Hong Kong SAR,Eastern Asia
China Macao SAR,Eastern Asia
North Korea,Eastern Asia
Japan,Eastern Asia
Mongolia,Eastern Asia
South Korea,Eastern Asia
Afghanistan,Southern Asia
Bangladesh,Southern Asia
Bhutan,Southern Asia
India,Southern Asia
Iran,Southern Asia
Maldives,Southern Asia
Nepal,Southern Asia
Pakistan,Southern Asia
Sri Lanka,Southern Asia
Brunei Darussalam,South-Eastern Asia
Cambodia,South-Eastern Asia
Indonesia,South-Eastern Asia
Laos,South-Eastern Asia
Malaysia,South-Eastern Asia
Myanmar,South-Eastern Asia
Philippines,South-Eastern Asia
Singapore,South-Eastern Asia
Thailand,South-Eastern Asia
Timor-Leste,South-Eastern Asia
Viet Nam,South-Eastern Asia
Armenia,Western Asia
Azerbaijan,Western Asia
Bahrain,Western Asia
Cyprus,Western Asia
Georgia,Western Asia
Iraq,Western Asia
Israel,Western Asia
Jordan,Western Asia
Kuwait,Western Asia
Lebanon,Western Asia
Oman,Western Asia
Qatar,Western Asia
Saudi Arabia,Western Asia
State of Palestine,Western Asia
Syrian Arab Republic,Western Asia
Turkey,Western Asia
United Arab Emirates,Western Asia
Yemen,Western Asia
Belarus,Eastern Europe
Bulgaria,Eastern Europe
Czechia,Eastern Europe
Hungary,Eastern Europe
Poland,Eastern Europe
Republic of Moldova,Eastern Europe
Romania,Eastern Europe
Russian Federation,Eastern Europe
Slovakia,Eastern Europe
Ukraine,Eastern Europe
Channel Islands,Northern Europe
Denmark,Northern Europe
Estonia,Northern Europe
Faeroe Islands,Northern Europe
Finland,Northern Europe
Iceland,Northern Europe
Ireland,Northern Europe
Isle of Man,Northern Europe
Latvia,Northern Europe
Lithuania,Northern Europe
Norway,Northern Europe
Sweden,Northern Europe
United Kingdom,Northern Europe
Albania,Southern Europe
Andorra,Southern Europe
Bosnia and Herzegovina,Southern Europe
Croatia,Southern Europe
Gibraltar,Southern Europe
Greece,Southern Europe
Holy See,Southern Europe
Italy,Southern Europe
Malta,Southern Europe
Montenegro,Southern Europe
Portugal,Southern Europe
San Marino,Southern Europe
Serbia,Southern Europe
Slovenia,Southern Europe
Spain,Southern Europe
TFYR Macedonia,Southern Europe
Austria,Western Europe
Belgium,Western Europe
France,Western Europe
Germany,Western Europe
Liechtenstein,Western Europe
Luxembourg,Western Europe
Monaco,Western Europe
Netherlands,Western Europe
Switzerland,Western Europe
Caribbean,Latin America and the Caribbean
Anguilla,Latin America and the Caribbean
Antigua and Barbuda,Latin America and the Caribbean
Aruba,Latin America and the Caribbean
Bahamas,Latin America and the Caribbean
Barbados,Latin America and the Caribbean
British Virgin Islands,Latin America and the Caribbean
Caribbean Netherlands,Latin America and the Caribbean
Cayman Islands,Latin America and the Caribbean
Cuba,Latin America and the Caribbean
Curacao,Latin America and the Caribbean
Dominica,Latin America and the Caribbean
Dominican Republic,Latin America and the Caribbean
Grenada,Latin America and the Caribbean
Guadeloupe,Latin America and the Caribbean
Haiti,Latin America and the Caribbean
Jamaica,Latin America and the Caribbean
Martinique,Latin America and the Caribbean
Montserrat,Latin America and the Caribbean
Puerto Rico,Latin America and the Caribbean
Saint Kitts and Nevis,Latin America and the Caribbean
Saint Lucia,Latin America and the Caribbean
Saint Vincent and the Grenadines,Latin America and the Caribbean
Sint Maarten,Latin America and the Caribbean
Trinidad and Tobago,Latin America and the Caribbean
Turks and Caicos Islands,Latin America and the Caribbean
Belize,Central America
Costa Rica,Central America
El Salvador,Central America
Guatemala,Central America
Honduras,Central America
Mexico,Central America
Nicaragua,Central America
Panama,Central America
Argentina,South America
Bolivia,South America
Brazil,South America
Chile,South America
Colombia,South America
Ecuador,South America
Falkland Islands,South America
French Guiana,South America
Guyana,South America
Paraguay,South America
Peru,South America
Suriname,South America
Uruguay,South America
Venezuela,South America
Bermuda,Northern America
Canada,Northern America
Greenland,Northern America
Saint Pierre and Miquelon,Northern America
USA,Northern America
Australia,Oceania
New Zealand,Oceania
Melanesia,Oceania
Fiji,Oceania
New Caledonia,Oceania
Papua New Guinea,Oceania
Solomon Islands,Oceania
Vanuatu,Oceania
Micronesia,Oceania
Guam,Oceania
Kiribati,Oceania
Marshall Islands,Oceania
Micronesia,Oceania
Nauru,Oceania
Northern Mariana Islands,Oceania
Palau,Oceania
Polynesia,Oceania
American Samoa,Oceania
Cook Islands,Oceania
French Polynesia,Oceania
Niue,Oceania
Samoa,Oceania
Tokelau,Oceania
Tonga,Oceania
Tuvalu,Oceania
Wallis and Futuna Islands,Oceania
